from_dev,from_port,from_city,from_level,to_dev,to_port,to_city,to_level,traffic,bandwidth
47,71,通辽,一般节点,1756,585,北京,网络核心,49636052613,1.00E+11
47,74,通辽,一般节点,1756,776,北京,网络核心,50056871412,1.00E+11
47,240,通辽,一般节点,1756,802,北京,网络核心,49453581081,1.00E+11
47,241,通辽,一般节点,1997,464,天津,网络核心,49733361585,1.00E+11
47,242,通辽,一般节点,474,672,哈尔滨,一般节点,50492573662,1.00E+11
47,243,通辽,一般节点,96,124,呼和浩特,一般节点,49942713747,1.00E+11
47,249,通辽,一般节点,1997,85,天津,网络核心,50499586948,1.00E+11
47,250,通辽,一般节点,2473,762,吉林,一般节点,49108721007,1.00E+11
47,251,通辽,一般节点,2549,839,沈阳,网络核心,50755299504,1.00E+11
47,252,通辽,一般节点,96,134,呼和浩特,一般节点,50256475808,1.00E+11
47,258,通辽,一般节点,1997,122,天津,网络核心,49594312223,1.00E+11
47,259,通辽,一般节点,1756,245,北京,网络核心,50703793815,1.00E+11
47,260,通辽,一般节点,2549,835,沈阳,网络核心,50220958279,1.00E+11
47,314,通辽,一般节点,96,152,呼和浩特,一般节点,50161220081,1.00E+11
47,417,通辽,一般节点,96,391,呼和浩特,一般节点,49358372500,1.00E+11
47,425,通辽,一般节点,1756,1018,北京,网络核心,50796899329,1.00E+11
47,427,通辽,一般节点,1997,213,天津,网络核心,48476552334,1.00E+11
63,6,通辽,一般节点,591,23,绥化,一般节点,50282047691,1.00E+11
63,10,通辽,一般节点,235,106,北京,网络核心,52195591947,1.00E+11
63,12,通辽,一般节点,180,252,呼和浩特,一般节点,49290094443,1.00E+11
63,54,通辽,一般节点,235,100,北京,网络核心,49256234165,1.00E+11
63,58,通辽,一般节点,36036,54,长春,一般节点,48363382095,1.00E+11
63,60,通辽,一般节点,36422,258,天津,网络核心,49920786706,1.00E+11
63,62,通辽,一般节点,36422,394,天津,网络核心,50322780029,1.00E+11
63,66,通辽,一般节点,235,112,北京,网络核心,49208537786,1.00E+11
63,70,通辽,一般节点,180,264,呼和浩特,一般节点,49630519508,1.00E+11
63,74,通辽,一般节点,2701,181,大连,网络核心,50364636480,1.00E+11
63,224,通辽,一般节点,180,20,呼和浩特,一般节点,48761650539,1.00E+11
63,228,通辽,一般节点,235,1506,北京,网络核心,49436165249,1.00E+11
63,230,通辽,一般节点,2701,71,大连,网络核心,50037668767,1.00E+11
63,232,通辽,一般节点,36422,124,天津,网络核心,49752623185,1.00E+11
63,278,通辽,一般节点,235,1649,北京,网络核心,50882530855,1.00E+11
63,282,通辽,一般节点,36422,230,天津,网络核心,49455678350,1.00E+11
63,286,通辽,一般节点,180,52,呼和浩特,一般节点,49725190236,1.00E+11
96,99,呼和浩特,一般节点,1257,560,上海,网络核心,49753614568,1.00E+11
96,102,呼和浩特,一般节点,2549,852,沈阳,网络核心,48368154112,1.00E+11
96,105,呼和浩特,一般节点,3227,781,济南,网络核心,50585574378,1.00E+11
96,108,呼和浩特,一般节点,2360,236,太原,网络核心,48210462086,1.00E+11
96,111,呼和浩特,一般节点,3227,468,济南,网络核心,48575689938,1.00E+11
96,114,呼和浩特,一般节点,2473,769,吉林,一般节点,50350633304,1.00E+11
96,117,呼和浩特,一般节点,2050,505,石家庄,网络核心,48814619370,1.00E+11
96,120,呼和浩特,一般节点,1997,250,天津,网络核心,50700267269,1.00E+11
96,123,呼和浩特,一般节点,2841,237,郑州,网络核心,48077485179,1.00E+11
96,124,呼和浩特,一般节点,47,243,通辽,一般节点,49986988230,1.00E+11
96,127,呼和浩特,一般节点,1756,1027,北京,网络核心,50087522340,1.00E+11
96,134,呼和浩特,一般节点,47,252,通辽,一般节点,49416652053,1.00E+11
96,135,呼和浩特,一般节点,2549,836,沈阳,网络核心,48380335564,1.00E+11
96,136,呼和浩特,一般节点,2360,215,太原,网络核心,49292630301,1.00E+11
96,141,呼和浩特,一般节点,474,422,哈尔滨,一般节点,49429192047,1.00E+11
96,152,呼和浩特,一般节点,47,314,通辽,一般节点,51981076188,1.00E+11
96,155,呼和浩特,一般节点,1536,681,广州,网络核心,51538493830,1.00E+11
96,156,呼和浩特,一般节点,3227,103,济南,网络核心,50654404568,1.00E+11
96,157,呼和浩特,一般节点,2050,443,石家庄,网络核心,50096366926,1.00E+11
96,158,呼和浩特,一般节点,2841,545,郑州,网络核心,51342500152,1.00E+11
96,159,呼和浩特,一般节点,2360,266,太原,网络核心,51625089370,1.00E+11
96,336,呼和浩特,一般节点,1756,1029,北京,网络核心,51600306541,1.00E+11
96,346,呼和浩特,一般节点,1257,138,上海,网络核心,47759033178,1.00E+11
96,379,呼和浩特,一般节点,1756,1187,北京,网络核心,49400869697,1.00E+11
96,383,呼和浩特,一般节点,5242,783,西安,网络核心,50609333179,1.00E+11
96,391,呼和浩特,一般节点,47,417,通辽,一般节点,51570663870,1.00E+11
96,399,呼和浩特,一般节点,1756,1117,北京,网络核心,50243694923,1.00E+11
96,407,呼和浩特,一般节点,4069,1196,宁波,一般节点,49745162804,1.00E+11
96,460,呼和浩特,一般节点,1997,729,天津,网络核心,49455021334,1.00E+11
180,10,呼和浩特,一般节点,2994,270,洛阳,网络核心,50401714739,1.00E+11
180,18,呼和浩特,一般节点,1536,26,鄂尔多斯,网络核心,51722488070,1.00E+11
180,20,呼和浩特,一般节点,63,224,通辽,一般节点,50551711152,1.00E+11
180,26,呼和浩特,一般节点,36272,133,太原,网络核心,51023900961,1.00E+11
180,28,呼和浩特,一般节点,1385,133,广州,网络核心,52798223188,1.00E+11
180,30,呼和浩特,一般节点,235,1661,北京,网络核心,49596659754,1.00E+11
180,34,呼和浩特,一般节点,3443,503,青岛,网络核心,49811891470,1.00E+11
180,36,呼和浩特,一般节点,2194,406,唐山,网络核心,50973267302,1.00E+11
180,38,呼和浩特,一般节点,1385,2778,广州,网络核心,51626689601,1.00E+11
180,42,呼和浩特,一般节点,36539,1140,杭州,一般节点,49293665157,1.00E+11
180,50,呼和浩特,一般节点,4515,652,西安,网络核心,50640954639,1.00E+11
180,52,呼和浩特,一般节点,63,286,通辽,一般节点,49155371449,1.00E+11
180,84,呼和浩特,一般节点,1536,86,鄂尔多斯,网络核心,49100967003,1.00E+11
180,90,呼和浩特,一般节点,235,1958,北京,网络核心,50714891315,1.00E+11
180,98,呼和浩特,一般节点,1129,910,上海,网络核心,50330801190,1.00E+11
180,188,呼和浩特,一般节点,36422,350,天津,网络核心,49047066099,1.00E+11
180,192,呼和浩特,一般节点,591,586,绥化,一般节点,49504348509,1.00E+11
180,200,呼和浩特,一般节点,2701,300,大连,网络核心,51884294458,1.00E+11
180,202,呼和浩特,一般节点,36272,247,太原,网络核心,49867223584,1.00E+11
180,205,呼和浩特,一般节点,1536,47,鄂尔多斯,网络核心,49925756570,1.00E+11
180,210,呼和浩特,一般节点,2194,450,唐山,网络核心,50514699101,1.00E+11
180,214,呼和浩特,一般节点,2701,135,大连,网络核心,48901190886,1.00E+11
180,218,呼和浩特,一般节点,3443,650,青岛,网络核心,50106572586,1.00E+11
180,226,呼和浩特,一般节点,36036,20,长春,一般节点,49248544673,1.00E+11
180,252,呼和浩特,一般节点,63,12,通辽,一般节点,49137975001,1.00E+11
180,254,呼和浩特,一般节点,235,1663,北京,网络核心,51477333650,1.00E+11
180,256,呼和浩特,一般节点,1129,171,上海,网络核心,49512421445,1.00E+11
180,260,呼和浩特,一般节点,2994,486,洛阳,网络核心,48006842653,1.00E+11
180,264,呼和浩特,一般节点,63,70,通辽,一般节点,50106121660,1.00E+11
180,272,呼和浩特,一般节点,3443,316,青岛,网络核心,52854391127,1.00E+11
180,276,呼和浩特,一般节点,36272,235,太原,网络核心,51775514286,1.00E+11
180,485,呼和浩特,一般节点,36422,102,天津,网络核心,52460156321,1.00E+11
474,359,哈尔滨,一般节点,2050,502,石家庄,网络核心,51299508559,1.00E+11
474,360,哈尔滨,一般节点,2473,946,吉林,一般节点,51819320173,1.00E+11
474,416,哈尔滨,一般节点,1257,178,上海,网络核心,50599061005,1.00E+11
474,417,哈尔滨,一般节点,1997,41,天津,网络核心,51874083489,1.00E+11
474,421,哈尔滨,一般节点,2549,1070,沈阳,网络核心,0,1.00E+11
474,422,哈尔滨,一般节点,96,141,呼和浩特,一般节点,48084671443,1.00E+11
474,460,哈尔滨,一般节点,3227,344,济南,网络核心,0,1.00E+11
474,467,哈尔滨,一般节点,1257,174,上海,网络核心,49987703744,1.00E+11
474,472,哈尔滨,一般节点,2050,312,石家庄,网络核心,49236653925,1.00E+11
474,473,哈尔滨,一般节点,2549,808,沈阳,网络核心,0,1.00E+11
474,474,哈尔滨,一般节点,2360,213,太原,网络核心,49764093255,1.00E+11
474,475,哈尔滨,一般节点,2473,803,吉林,一般节点,0,1.00E+11
474,614,哈尔滨,一般节点,3227,724,济南,网络核心,51504522549,1.00E+11
474,670,哈尔滨,一般节点,2841,483,郑州,网络核心,50632622266,1.00E+11
474,671,哈尔滨,一般节点,2549,919,沈阳,网络核心,50446722135,1.00E+11
474,672,哈尔滨,一般节点,47,242,通辽,一般节点,51555817613,1.00E+11
474,673,哈尔滨,一般节点,2473,799,吉林,一般节点,48852033101,1.00E+11
474,677,哈尔滨,一般节点,3227,195,济南,网络核心,51631856877,1.00E+11
474,678,哈尔滨,一般节点,1997,124,天津,网络核心,49044545927,1.00E+11
474,682,哈尔滨,一般节点,1536,585,广州,网络核心,50262691915,1.00E+11
474,683,哈尔滨,一般节点,1997,84,天津,网络核心,49446798762,1.00E+11
474,1227,哈尔滨,一般节点,2841,341,郑州,网络核心,48505909225,1.00E+11
474,1228,哈尔滨,一般节点,1997,468,天津,网络核心,49556923953,1.00E+11
474,1238,哈尔滨,一般节点,1756,1008,北京,网络核心,51270474683,1.00E+11
474,1246,哈尔滨,一般节点,3227,705,济南,网络核心,50954049859,1.00E+11
474,1259,哈尔滨,一般节点,3227,787,济南,网络核心,49591440488,1.00E+11
474,1269,哈尔滨,一般节点,2549,1430,沈阳,网络核心,50312177853,1.00E+11
474,1272,哈尔滨,一般节点,2473,1043,吉林,一般节点,49735704801,1.00E+11
474,1291,哈尔滨,一般节点,4360,472,南京,一般节点,49606597090,1.00E+11
474,1311,哈尔滨,一般节点,2549,1570,沈阳,网络核心,49783212426,1.00E+11
474,1374,哈尔滨,一般节点,2050,336,石家庄,网络核心,50242784823,1.00E+11
474,1389,哈尔滨,一般节点,1756,1127,北京,网络核心,48259332712,1.00E+11
474,1399,哈尔滨,一般节点,4360,468,南京,一般节点,50372436809,1.00E+11
474,1409,哈尔滨,一般节点,1756,1067,北京,网络核心,49473981680,1.00E+11
474,1410,哈尔滨,一般节点,4069,1205,宁波,一般节点,46523775334,1.00E+11
474,1470,哈尔滨,一般节点,2473,1460,吉林,一般节点,49047884661,1.00E+11
474,1473,哈尔滨,一般节点,2549,1461,沈阳,网络核心,53304989080,1.00E+11
591,11,绥化,一般节点,2994,488,洛阳,网络核心,51159567570,1.00E+11
591,13,绥化,一般节点,36422,324,天津,网络核心,50085514419,1.00E+11
591,15,绥化,一般节点,1385,1490,广州,网络核心,49228307349,1.00E+11
591,17,绥化,一般节点,3443,186,青岛,网络核心,49474305249,1.00E+11
591,19,绥化,一般节点,36036,18,长春,一般节点,49524524277,1.00E+11
591,23,绥化,一般节点,63,6,通辽,一般节点,49462640634,1.00E+11
591,27,绥化,一般节点,3443,117,青岛,网络核心,49213859972,1.00E+11
591,29,绥化,一般节点,2701,227,大连,网络核心,49707225860,1.00E+11
591,56,绥化,一般节点,36036,52,长春,一般节点,48627355195,1.00E+11
591,60,绥化,一般节点,36422,446,天津,网络核心,48726793145,1.00E+11
591,64,绥化,一般节点,36272,105,太原,网络核心,51256753219,1.00E+11
